"m_category-overview-tiles__item href","product-image__picture src","product-image","tile_product-standard__title","tile_product-standard__category","price-value"
"https://www.stihl.in/en/p/hedge-trimmers-long-reach-hedge-trimmers-hl-94-long-reach-hedge-trimmer-74075#hl-94-c-e-74075","https://www.stihl.in/content/dam/stihl/media/pim/97769.jpg","<img src=""/content/dam/stihl/media/pim/97769.jpg"" alt=""HL 94 LONG REACH HEDGE TRIMMER""/>","HL 94 LONG REACH HEDGE TRIMMER","Hedge trimmers & long-reach hedge trimmers","INR 61,877.00"
"https://www.stihl.in/en/p/hedge-trimmers-long-reach-hedge-trimmers-hsa-50-ak-system-157866#hsa-50-with-ak-20-battery-and-al-101-charger-157866","https://www.stihl.in/content/dam/stihl/media/pim/53152.jpg","<img src=""/content/dam/stihl/media/pim/53152.jpg"" alt=""HSA 50 Cordless Hedge Trimmer - AK System""/>","HSA 50 Cordless Hedge Trimmer - AK System","Hedge trimmers & long-reach hedge trimmers","INR 31,170.00"
"https://www.stihl.in/en/p/brushcutters-grass-trimmers-clearing-saws-fs-230-petrol-brushcutter-84172#fs-230-84172","https://www.stihl.in/content/dam/stihl/media/pim/54850.jpg","<img src=""/content/dam/stihl/media/pim/54850.jpg"" alt=""FS 230""/>","FS 230 Petrol Brushcutter","Grass trimmers, brushcutters & clearing saws","INR 29,551.00"
"https://www.stihl.in/en/p/brushcutters-grass-trimmers-clearing-saws-fr-230-petrol-brushcutter-84179#fr-230-84179","https://www.stihl.in/content/dam/stihl/media/pim/45627.jpg","<img src=""/content/dam/stihl/media/pim/45627.jpg"" alt=""FR 230""/>","FR 230 Petrol Brushcutter","Grass trimmers, brushcutters & clearing saws","INR 31,322.00"
"https://www.stihl.in/en/p/brushcutters-grass-trimmers-clearing-saws-fsa-130-ap-system-76259#fsa-130-without-battery-and-charger-76259","https://www.stihl.in/content/dam/stihl/media/pim/43229.jpg","<img src=""/content/dam/stihl/media/pim/43229.jpg"" alt=""FSA 130 Cordless Brushcutter – AP System""/>","FSA 130 Cordless Brushcutter – AP System","Grass trimmers, brushcutters & clearing saws","INR 47,901.00"
"https://www.stihl.in/en/p/pressure-washers-re-100-plus-control-electric-pressure-washer-141961#re-100-plus-control-141961","https://www.stihl.in/content/dam/stihl/media/pim/49221.jpg","<img src=""/content/dam/stihl/media/pim/49221.jpg"" alt=""RE 100 PLUS CONTROL""/>","RE 100 Plus Control Electric Pressure Washer","Pressure washers","INR 20,491.00"
"https://www.stihl.in/en/p/water-pumps-wp-300-petrol-water-pump-155020#wp-300-155020","https://www.stihl.in/content/dam/stihl/media/pim/53023.jpg","<img src=""/content/dam/stihl/media/pim/53023.jpg"" alt=""WP 300 Petrol Water Pump""/>","WP 300 Petrol Water Pump","Water pumps","INR 26,419.00"
"https://www.stihl.in/en/p/water-pumps-wp-600-petrol-water-pump-155018#wp-600-155018","https://www.stihl.in/content/dam/stihl/media/pim/53031.jpg","<img src=""/content/dam/stihl/media/pim/53031.jpg"" alt=""WP 600 Petrol Water Pump""/>","WP 600 Petrol Water Pump","Water pumps","INR 29,941.00"
"https://www.stihl.in/en/p/water-pumps-wp-900-petrol-water-pump-155019#wp-900-155019","https://www.stihl.in/content/dam/stihl/media/pim/53032.jpg","<img src=""/content/dam/stihl/media/pim/53032.jpg"" alt=""WP 900 Petrol Water Pump""/>","WP 900 Petrol Water Pump","Water pumps","INR 48,093.00"
"https://www.stihl.in/en/p/wet-dry-vacuum-cleaners-sea-20-cordless-hand-vacuum-as-system-146275#sea-20-without-battery-and-charger-146275","https://www.stihl.in/content/dam/stihl/media/pim/55396.jpg","<img src=""/content/dam/stihl/media/pim/55396.jpg"" alt=""SEA 20 Cordless Hand Vacuum - AS System""/>","SEA 20 Cordless Hand Vacuum - AS System","Wet & dry vacuums","INR 8,035.00"